City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hobart,AU,77.27,scattered clouds,-42.8794,147.3294,Vibe Hotel Hobart
10,Atuona,PF,78.71,clear sky,-9.8,-139.0333,Pearl Resort
11,Hithadhoo,MV,81.52,broken clouds,-0.6,73.0833,Pebbles Inn
13,Utete,TZ,77.43,scattered clouds,-7.986,38.758,No hotel found
22,Sibolga,ID,82.99,overcast clouds,1.7427,98.7792,Hotel Prima Indah
27,Pangai,TO,87.91,broken clouds,-19.8,-174.35,Billy's Place
28,New Norfolk,AU,76.91,clear sky,-42.7826,147.0587,Woodbridge on the Derwent
30,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
32,Jamame,SO,80.8,broken clouds,0.0722,42.7506,No hotel found
35,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
36,Daru,PG,83.14,light rain,-9.0763,143.2092,Kuki
41,Nabire,ID,80.42,overcast clouds,-3.3667,135.4833,Hotel Anggrek
42,Mataura,NZ,82.67,clear sky,-46.1927,168.8643,No hotel found
44,Busselton,AU,86.97,clear sky,-33.65,115.3333,No hotel found
45,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,The Abidah By Accra
48,Faanui,PF,80.64,light rain,-16.4833,-151.75,Oa Oa Lodge
57,Flinders,AU,82.18,clear sky,-34.5833,150.8552,No hotel found
58,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Pono Kai Resort
62,Anloga,GH,78.46,scattered clouds,5.7947,0.8973,Hotel de White House
66,Bengkulu,ID,82.65,overcast clouds,-3.8004,102.2655,Dena Hotel
68,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Grand Bel Air
69,Aitape,PG,83.59,moderate rain,-3.1374,142.3475,No hotel found
75,Rikitea,PF,78.78,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
76,Catamarca,AR,77.77,scattered clouds,-28.4696,-65.7852,Hotel de Turismo
122,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,Hotel del Valle
134,Hervey Bay,AU,77.54,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
139,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Ocean Centre Hotel
142,Robertsport,LR,78.3,broken clouds,6.7533,-11.3686,Nana's Lodge
145,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Tropic Hotel
146,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
147,Samarai,PG,84.63,overcast clouds,-10.6167,150.6667,No hotel found
150,Itarema,BR,78.69,overcast clouds,-2.9248,-39.9167,Pousada Oásis
