City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chifeng,CN,42.2683,118.9636,31.8,18,0,5.66,clear sky
1,Juegang,CN,32.3174,121.1855,55.98,71,0,15.68,clear sky
2,Olafsvik,IS,64.8945,-23.7142,31.75,67,100,21.85,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,63.81,84,81,5.41,broken clouds
4,Tilichiki,RU,60.4667,166.1,-12.93,91,91,10.11,overcast clouds
5,Cape Town,ZA,-33.9258,18.4232,65.1,87,0,5.75,clear sky
6,Hobart,AU,-42.8794,147.3294,77.27,73,40,23.02,scattered clouds
7,Kamenka,RU,51.3223,42.7678,1.76,97,95,3.29,overcast clouds
8,Coahuayana,MX,18.7333,-103.6833,69.87,90,0,3.51,clear sky
9,Saskylakh,RU,71.9167,114.0833,-25.71,98,100,6.38,overcast clouds
10,Atuona,PF,-9.8,-139.0333,78.71,75,5,14.29,clear sky
11,Hithadhoo,MV,-0.6,73.0833,81.52,75,62,10.09,broken clouds
12,Plover,US,44.4564,-89.544,18.45,87,0,5.01,clear sky
13,Utete,TZ,-7.986,38.758,77.43,91,33,0.18,scattered clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,72.09,92,40,18.01,scattered clouds
15,Broome,US,42.2506,-75.833,30.85,84,75,4.61,broken clouds
16,Albany,US,42.6001,-73.9662,30.22,81,3,1.95,clear sky
17,Omboue,GA,-1.5746,9.2618,73.69,93,100,7.54,light rain
18,Kazachinskoye,RU,57.6953,93.2761,35.58,84,100,16.33,overcast clouds
19,Faya,SA,18.3851,42.4509,53.71,67,1,5.08,clear sky
20,Kikwit,CD,-5.041,18.8162,68.72,97,100,2.13,light rain
21,Ushuaia,AR,-54.8,-68.3,56.86,72,0,12.66,clear sky
22,Sibolga,ID,1.7427,98.7792,82.99,63,100,3.62,overcast clouds
23,Batemans Bay,AU,-35.7167,150.1833,73.09,44,0,6.91,clear sky
24,Vestmannaeyjar,IS,63.4427,-20.2734,33.42,83,62,26.49,broken clouds
25,Xuddur,SO,4.1213,43.8894,73.98,62,57,20.76,broken clouds
26,Bani,DO,18.2833,-70.3333,73.85,83,6,10.45,clear sky
27,Pangai,TO,-19.8,-174.35,87.91,70,75,5.75,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,76.91,44,1,1.99,clear sky
29,Lompoc,US,34.6391,-120.4579,59.77,89,100,13.8,overcast clouds
30,Avarua,CK,-21.2078,-159.775,77.05,88,75,17.27,light rain
31,Shenjiamen,CN,29.9576,122.298,56.43,61,91,9.19,overcast clouds
32,Jamame,SO,0.0722,42.7506,80.8,70,77,13.11,broken clouds
33,Bethel,US,41.3712,-73.414,35.91,84,0,1.01,clear sky
34,Valka,LV,57.7752,26.0101,21.06,88,100,3.0,light snow
35,Hilo,US,19.7297,-155.09,79.29,76,100,5.75,overcast clouds
36,Daru,PG,-9.0763,143.2092,83.14,78,90,4.03,light rain
37,Barrow,US,71.2906,-156.7887,1.42,78,100,11.5,overcast clouds
38,Sayyan,YE,15.1718,44.3244,52.23,66,60,2.42,broken clouds
39,Kundiawa,PG,-6.0167,144.9667,72.75,83,98,0.72,overcast clouds
40,Novoagansk,RU,61.9449,76.6625,-14.67,91,100,15.26,overcast clouds
41,Nabire,ID,-3.3667,135.4833,80.42,80,100,2.26,overcast clouds
42,Mataura,NZ,-46.1927,168.8643,82.67,30,0,5.97,clear sky
43,Meiganga,CM,6.5167,14.3,62.65,31,98,6.31,overcast clouds
44,Busselton,AU,-33.65,115.3333,86.97,34,0,5.12,clear sky
45,Oistins,BB,13.0667,-59.5333,78.89,78,40,17.27,scattered clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,70.86,91,100,7.56,overcast clouds
47,Cherskiy,RU,68.75,161.3,-44.63,100,64,3.96,broken clouds
48,Faanui,PF,-16.4833,-151.75,80.64,77,92,9.62,light rain
49,Lubango,AO,-14.9172,13.4925,57.36,87,80,0.87,broken clouds
50,Weihe,CN,32.9952,105.3247,51.28,46,0,5.39,clear sky
51,Pevek,RU,69.7008,170.3133,-20.33,95,100,2.68,overcast clouds
