City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2023-01-06 04:02:02,-54.8,-68.3,49.46,87,96,10.6
1,Severo-Kurilsk,RU,2023-01-06 04:03:51,50.6789,156.125,21.99,84,56,9.22
2,San Felipe,VE,2023-01-06 04:03:52,10.3399,-68.7425,70.63,98,91,2.51
3,Clyde River,CA,2023-01-06 04:02:59,70.4692,-68.5914,-24.48,92,27,2.21
4,Airai,TL,2023-01-06 04:03:52,-8.9266,125.4092,72.93,61,90,7.16
5,Punta Arenas,CL,2023-01-06 04:00:30,-53.15,-70.9167,53.11,71,72,12.8
6,Hobart,AU,2023-01-06 04:03:00,-42.8794,147.3294,70.27,53,20,12.66
7,Cuenca,EC,2023-01-06 04:03:53,-2.8833,-78.9833,55.65,93,100,1.01
8,Atuona,PF,2023-01-06 04:03:54,-9.8,-139.0333,78.44,79,18,17.11
9,Butaritari,KI,2023-01-06 04:03:54,3.0707,172.7902,81.46,72,71,13.69
10,Hailey,US,2023-01-06 04:03:55,43.5196,-114.3153,34.88,86,100,1.01
11,Mataura,NZ,2023-01-06 04:03:55,-46.1927,168.8643,64.85,82,99,8.5
12,Codrington,AU,2023-01-06 04:03:56,-38.2667,141.9667,69.89,57,0,19.39
13,Constitucion,CL,2023-01-06 04:03:56,-35.3333,-72.4167,56.8,93,15,3.22
14,Zhigansk,RU,2023-01-06 04:03:57,66.7697,123.3711,-46.73,100,84,0.43
15,Busselton,AU,2023-01-06 04:03:57,-33.65,115.3333,73.47,59,95,20.69
16,Asau,RO,2023-01-06 04:03:58,46.4333,26.4,43.72,68,100,10.89
17,Jamestown,US,2023-01-06 04:03:59,42.097,-79.2353,38.79,64,100,4.61
18,Xichang,CN,2023-01-06 04:03:59,27.8964,102.2634,55.67,49,52,2.95
19,Wagga Wagga,AU,2023-01-06 04:04:00,-35.1167,147.3667,82.85,41,20,7.0
20,Hermanus,ZA,2023-01-06 04:04:00,-34.4187,19.2345,63.57,65,97,11.65
21,Saint George,US,2023-01-06 04:01:02,37.1041,-113.5841,46.26,91,100,6.91
22,Saint-Augustin,CA,2023-01-06 04:04:01,51.226,-58.6502,3.99,73,1,8.88
23,Buluang,PH,2023-01-06 04:04:01,13.3068,123.3425,81.48,77,99,6.02
24,Sartell,US,2023-01-06 04:04:02,45.6216,-94.2069,2.03,84,0,3.44
25,Nikolskoye,RU,2023-01-06 04:04:02,59.7035,30.7861,10.8,98,99,2.24
26,Kruisfontein,ZA,2023-01-06 04:04:03,-34.0033,24.7314,58.89,84,99,5.14
27,Sabha,LY,2023-01-06 04:04:03,27.0377,14.4283,48.29,58,73,7.72
28,Los Llanos De Aridane,ES,2023-01-06 04:04:04,28.6585,-17.9182,60.55,72,100,10.36
